Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
22edbb68-43bf-479f-947a-7141108d1ccb,Target: CD8,Target: CD8,Other,119.75,3.797
4bdf9d39-1366-4a3a-a563-b718174d7537,PathCellObject,,Other,134.68,8.453
31020dfc-26b0-4bf4-8706-a6c7b1d6a820,PathCellObject,,Other,153.84,5.205
1538695e-9aae-4422-9b2b-3a2e84196726,Target: CD3: CD4,Target: CD3: CD4,Other,171.57,3.119
50889941-a2d2-4a0b-832e-50fe07d00710,PathCellObject,,Other,192.09,6.436
9a3168fe-e0a3-40c6-86f3-518cd733ab06,PathCellObject,,Other,216.19,3.357
7ab09edc-e404-426f-bcee-0bdee3a22e1e,Target: CD68,Target: CD68,Other,260,5.204
77c9f159-865f-4b2f-ab05-6112e7a499ff,Target: CD68,Target: CD68,Other,274.04,6.993
4bdce598-ded9-4e3d-88f7-4f6288f8f55c,PathCellObject,,Other,419.82,5.162
fd72fca3-6605-4f75-b65f-5ce30f45038e,PathCellObject,,Other,470.38,3.296
2132718d-321c-433b-a80f-936a3dc1b545,PathCellObject,,Other,516.13,3.183
0c04492c-59d1-4c7b-89b0-92d4e0d33534,Target: CD68,Target: CD68,Other,609.39,4.424
1fe240a7-704e-43e1-aae4-2ff03639ac58,Target: CD68,Target: CD68,Other,648.03,12.07
ba095ae2-cafd-452e-811a-acdc4abf25e5,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,204.47,4.535
3e6f243d-82fd-4d63-be5c-d54df10ae021,PathCellObject,,Other,450.77,3.876
15592c54-6e78-4db2-b60d-e23f3671ab2c,Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,Other,102.74,7.655
18ab29a1-af34-47d2-bfeb-0471fcdfe0a5,Target: CD68,Target: CD68,Other,562.03,5.77
c203bee1-9283-4fa6-bcfb-79241b2bed78,Target: CD3: CD8,Target: CD3: CD8,Other,86.09,6.979
5f431b7c-4d91-4c28-a7a4-f5cd61d863ad,Target: CD68: CD3: FoxP3,Target: CD68: CD3: FoxP3,Other,441.8,5.054
326d115f-dc35-4822-9bcb-e733046afa62,Target: CD68,Target: CD68,Other,572.82,9.298
b7f81a62-4c14-4337-8973-b2894d509637,PathCellObject,,Other,113.09,7.979
f9191812-e893-4e26-9c4e-32b46bcc1596,Target: CD8,Target: CD8,Other,529.57,5.391
3d6aa75c-dd60-4269-a657-ad0d7acb3eed,Target: CD3,Target: CD3,Other,162.63,9.19
998d927e-0abd-459f-a55a-240d7b1fc5b7,Target: CD8,Target: CD8,Other,458.26,9.978
8f239883-8f47-4737-9390-94f37ab5eb89,Target: CD68,Target: CD68,Other,542.42,9.557
b4814ba8-f713-434a-8dd9-63153ae682f1,PathCellObject,,Other,553.51,8.722
afeb120d-72a2-4bb6-96dd-19a8b7b93a8c,PathCellObject,,Other,216.69,11
de20e7b4-2c95-49a3-9806-2e6c77f6932f,Target: CD68,Target: CD68,Other,476.38,11.76
b8a4154c-9ffc-431e-80ea-1b5e273219f0,Target: CD68,Target: CD68,Other,591.02,10.73
632691c6-fc19-4735-be6d-e690525f8123,Target: CD3: CD4,Target: CD3: CD4,Other,171.58,12.56
59a35bee-f807-4574-8808-e027155a105f,PathCellObject,,Other,500.2,10.21
3a7b3616-de0e-435f-9c4a-e8be1211f8d5,PathCellObject,,Other,515.53,13.34
55bb6ff0-b730-47ee-bf77-23396c545033,PathCellObject,,Other,349.95,11.81
1053dd3b-e7e7-4923-94b3-9892bdf2d122,PathCellObject,,Other,395.64,13.05
5ba0453d-ef70-494e-b19a-c248061f5630,Target: CD68,Target: CD68,Other,439.31,15.27
24125180-d7d6-4b95-af4e-197c8d5b4460,Target: CD3: CD8,Target: CD3: CD8,Other,525.65,14.32
e49acd3c-c5ca-4a23-a684-7f003631aaed,Target: CD68,Target: CD68,Other,199.38,18.55
d7d68f27-fc61-4316-b581-a1cca4de868a,Target: CD68: CD8,Target: CD68: CD8,Other,453.41,20.28
6cad9096-754a-4a07-ac66-28b443a04316,PathCellObject,,Other,372.32,13.06
06370d14-07c8-4524-b7db-6dc7f1184ca7,PathCellObject,,Other,144.24,15.63
24472e7b-d862-47fd-90b0-58fb8238038e,Target: CD68: CD8,Target: CD68: CD8,Other,212.11,20.69
c1dc8442-e858-47dc-9a67-2ed232b2b0fd,Target: CD68,Target: CD68,Other,264.41,17.93
af4e94b4-20b3-4ca9-93af-b0574d130d49,Target: CD68,Target: CD68,Other,501.77,19.41
68a699ae-91e2-4901-8485-c34f2a885106,PathCellObject,,Other,363.53,17.12
fb7b4521-f9dc-4afb-8529-bdf2b900b9b0,PathCellObject,,Other,538.77,18.39
261485ac-53f7-43ec-9a70-7c5b1e1b8ec2,Target: CD3,Target: CD3,Other,156.67,17.09
9d1c7f70-b554-43b8-aaca-201bbd810d20,Target: CD68,Target: CD68,Other,555.84,19.58
f8c32230-d5e9-495c-a65c-18e1b293e799,PathCellObject,,Other,582.19,22.99
c247f054-00d2-4e96-b7bc-d3ffcf943b3f,Target: CD68: CD8,Target: CD68: CD8,Other,605.17,20.64
afe5712f-9419-401d-b566-95384dfd5ff8,PathCellObject,,Other,471.15,20.8
141b5521-508e-4842-b862-eadc94579878,Target: CD3: CD4,Target: CD3: CD4,Other,165.12,24.19
c9682f29-2392-49ae-8969-eac2e443c0f0,Target: CD68,Target: CD68,Other,592.34,22.07
47a7946d-52fb-4107-8f4c-3d153957bdf6,Target: CD68: CD8,Target: CD68: CD8,Other,100.17,20.97
e427fac0-88cb-4f65-87e6-45dc22f80c3a,Target: CD68,Target: CD68,Other,121.31,21.34
9864f702-dd0c-4431-956f-1cb08cfed887,PathCellObject,,Other,530.43,23.74
24e80605-8b3a-485c-926f-8a6e923e21b0,Target: CD3: CD8,Target: CD3: CD8,Other,178.1,22.84
ea0e3470-d1d8-4a44-a7c9-1afd32404328,Target: CD68,Target: CD68,Other,513.08,25
935aa4a0-d5a7-4459-af59-46b9d6fa961e,PathCellObject,,Other,424.54,22.92
7d0de8a2-b0ae-4fe3-ba62-ce9b04502acc,PathCellObject,,Other,356.07,24.91
b5349f03-d914-4b94-90b3-a75a1386cd7d,PathCellObject,,Other,572.7,23.24
3ef33791-6f58-4c8a-8c1d-7bdb94aa5335,PathCellObject,,Other,272.41,24.17
19189fdd-9be1-479d-ab72-4ace897b1591,PathCellObject,,Other,383.62,21.83
ebf55940-d2e3-4995-960c-ce7839f4f0e4,Target: CD68,Target: CD68,Other,630.87,22.35
0bc7aecc-9608-42a9-b667-a63413c59137,Target: CD3,Target: CD3,Other,137.81,22.11
d0f5b1f8-1a76-4765-9256-f6b140b45827,PathCellObject,,Other,563.45,26.41
08212dea-b809-4f7b-9e80-3de5b3bbcb43,PathCellObject,,Other,154,25.21
4050e0ae-c33b-480a-9857-6c4eacd93eb5,Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,89.95,26.69
943c4253-4375-4a67-859a-9ee5d9ca3959,PathCellObject,,Other,481.13,26.26
2c1fb2eb-a365-499c-aaef-6bcda411e3ee,Target: CD68: CD3,Target: CD68: CD3,Other,540.82,26.05
10dc4b03-b965-4758-947e-32812b3bcc3c,PathCellObject,,Other,368.43,26.82
30bf29d9-f053-4f92-af77-9e297211c196,PathCellObject,,Other,394.96,30.42
3a032a56-90c9-4fe0-b92e-458c512406ca,PathCellObject,,Other,376.95,29.9
8bfaa25c-42a6-495e-b1bf-d86351564d17,PathCellObject,,Other,389.92,25.97
694b8378-6c6c-41ee-9838-b677a97c8422,PathCellObject,,Other,406.57,27.57
