Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
6c276df4-2eb7-411b-86be-2dfe8d200177,PathCellObject,,Other,314.49,5.472
da8dc8f7-5dc6-4857-a287-7ae9871070be,PathCellObject,,Other,367.55,5.777
a68206b4-6c55-4deb-a03e-7a7bf852790a,PathCellObject,,Other,439.33,1.759
0b3d4b15-ee58-4d7e-811e-c3d80e4fcf01,PathCellObject,,Other,470.65,2.142
71018e2e-923f-448d-b886-c2fb77167727,PathCellObject,,Other,523.85,3.243
c06d00c6-fc29-4325-b516-cf5c2d702f0c,PathCellObject,,Other,544.48,2.942
098e65db-be9b-41f0-a178-e5753c013d3e,PathCellObject,,Other,581.35,4.222
298ee6eb-e885-429e-84ff-b55204beb45b,PathCellObject,,Other,595.22,4.246
14bac986-f1cf-48cb-8b81-512aa12f1834,PathCellObject,,Other,612.21,2.6
3b860804-71e3-4f58-ab77-fd6c1373254d,PathCellObject,,Other,625.71,4.031
e96cabf9-a70e-4d57-8076-acac9a488ca4,PathCellObject,,Other,770.85,2.041
6da3d5eb-9cd1-49f1-903d-6152b4427325,PathCellObject,,Other,509.77,8.098
2d34a16e-38b4-41ea-940f-877f2317f6a0,PathCellObject,,Other,758.58,2.936
f0d7f613-ea11-4739-85d3-d0b201b0f4fa,PathCellObject,,Other,76.58,6.048
9906b782-2002-4e0b-b118-2df8b2b7090e,PathCellObject,,Other,571.79,6.916
8474fcfe-8460-4380-bed5-a8885d48aa01,PathCellObject,,Other,276.77,5.703
f051c757-b728-4bd8-8b96-e2b81732aaa9,PathCellObject,,Other,438.63,7.506
4be24de2-e56f-41e4-8f1a-64db19ee8a1e,PathCellObject,,Other,472,7.681
8f7abb78-68b6-459f-90d6-c274408a2aff,PathCellObject,,Other,614.21,7.526
299c2688-409f-4542-973a-f8779ac7238f,PathCellObject,,Other,722.91,5.958
8287e055-28eb-4ba6-94d2-f5851630fddb,PathCellObject,,Other,409.48,8.569
5b50de99-4337-4b3b-bea8-612274042821,PathCellObject,,Other,454.58,6.959
