Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
968e9ff5-11cf-4ddd-9532-d7d6ec8e3a68,PathCellObject,,Tumor,50.98,2.312
5951e1eb-09a1-4b5b-b12e-64b8e33ffe87,PathCellObject,,Tumor,171.98,5.734
25b16236-8f66-451b-9f18-28bec115b4e7,PathCellObject,,Tumor,195.53,5.578
dcf0f28a-cccc-4fec-a492-6fa6492cfa3a,Target: CD8,Target: CD8,Tumor,223.54,5.037
70db4118-e0ff-49c8-94f7-2fd4c7b94f39,Target: CD3: CD8,Target: CD3: CD8,Tumor,257.72,2.14
5748c8f1-0eae-42f7-9396-c424bfa7fca3,PathCellObject,,Tumor,361.72,3.144
be4d83f2-d45c-4bef-abe9-2f32b6a89e91,Target: CD8,Target: CD8,Tumor,373.36,3.533
1e734d34-9351-4645-a501-ece274a2c7ab,Target: CD68,Target: CD68,Tumor,411.7,4.075
609c0332-a38e-4ba6-b0a5-2cc7e90a785e,PathCellObject,,Tumor,421.42,3.235
00c90bf6-2350-46d9-9370-1b7b7a153d95,PathCellObject,,Tumor,531.03,2.673
4b93d56f-72cb-4603-a7d9-bfcaad34bb46,PathCellObject,,Tumor,538.69,4.967
c02fd40f-a7a7-472c-b268-84d1665bdbdb,Target: CD4,Target: CD4,Tumor,597.23,2.422
0dc7fe06-d637-4ecb-b0cd-dd5b37c0359d,PathCellObject,,Tumor,646.86,2.797
c6e02e1c-f30c-4d48-8c79-42e37840c886,Target: CD8,Target: CD8,Tumor,671.48,4.167
a5f26f27-9e62-4695-affa-9b45843520a3,PathCellObject,,Tumor,691.41,5.991
cf5a99d2-80bf-46bf-a2ca-db34f7bfdca0,PathCellObject,,Tumor,714.48,4.613
d201acac-3129-41fe-beb4-ccbfa7a7a566,PathCellObject,,Tumor,18.17,3.331
e58c4dfc-36f9-4aed-9a51-88784eec6e48,Target: CD8,Target: CD8,Tumor,28.36,3.342
