Name,Class,Parent,Centroid X µm,Centroid Y µm
Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,Other,175.95,729.24
Target: CD8,Target: CD8,Other,757.33,730.01
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,774.34,727.64
Target: CD8,Target: CD8,Other,333.26,729.98
Target: CD20,Target: CD20,Other,467.86,731.97
PathCellObject,,Other,726.1,731.47
Target: CD3: CD8,Target: CD3: CD8,Other,748.29,731.61
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,197.22,730.73
PathCellObject,,Other,703.22,734.78
Target: CD20: CD68,Target: CD20: CD68,Other,122.19,738.6
Target: CD20: CD68,Target: CD20: CD68,Other,134.7,731.79
Target: CD4,Target: CD4,Other,151.85,733.21
Target: CD20: CD68: CD3,Target: CD20: CD68: CD3,Other,475.24,730.2
Target: CD20: CD68,Target: CD20: CD68,Other,481.19,728.8
Target: CD20: CD3,Target: CD20: CD3,Other,544,731.48
PathCellObject,,Other,770.15,731.66
PathCellObject,,Other,19.78,732.72
Target: CD20,Target: CD20,Other,58.51,734.26
Target: CD20: CD3,Target: CD20: CD3,Other,442.56,732.24
Target: CD20,Target: CD20,Other,262.18,731.46
Target: CD20,Target: CD20,Other,487.4,732.25
Target: CD20,Target: CD20,Other,527.21,732.19
Target: CD20: CD68,Target: CD20: CD68,Other,183.42,734.53
Target: CD20,Target: CD20,Other,493.89,732.51
Target: CD20,Target: CD20,Other,255.73,733.86
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,501.01,733.49
Target: CD20,Target: CD20,Other,520.64,733.71
Target: CD20,Target: CD20,Other,70.79,733.45
Target: CD20,Target: CD20,Other,222.07,734.4
Target: CD20,Target: CD20,Other,432.09,735.62
Target: CD20,Target: CD20,Other,460.54,735.06
Target: CD20: CD3,Target: CD20: CD3,Other,511.76,734.55
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Other,738.91,735.9
PathCellObject,,Other,38.92,737.92
Target: CD20,Target: CD20,Other,534.82,735.78
Target: CD68: CD8,Target: CD68: CD8,Other,141.73,734.12
Target: CD20: CD8,Target: CD20: CD8,Other,249.26,735.73
Target: CD20: CD8,Target: CD20: CD8,Other,338.43,740.81
PathCellObject,,Other,552.68,736.24
Target: CD8,Target: CD8,Other,768.98,740.56
Target: CD20,Target: CD20,Other,165,737.19
Target: CD20,Target: CD20,Other,228.52,737.8
PathCellObject,,Other,760.33,737.09
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Other,474.02,739.67
PathCellObject,,Other,749.89,739.38
PathCellObject,,Other,234.93,740.97
Target: CD20,Target: CD20,Other,481.72,739.42
Target: CD20: CD8,Target: CD20: CD8,Other,733.77,741.9
Target: CD20: CD4,Target: CD20: CD4,Other,174.12,740.79
Target: CD68: CD4,Target: CD68: CD4,Other,200.93,738.68
Target: CD68: CD4,Target: CD68: CD4,Other,208.23,741.59
Target: CD20: CD8,Target: CD20: CD8,Other,244.26,741.96
Target: CD20,Target: CD20,Other,254.93,742.13
Target: CD20,Target: CD20,Other,449.75,739.94
Target: CD20: CD68,Target: CD20: CD68,Other,489.06,741.13
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,110.22,739.46
PathCellObject,,Other,301.05,739.52
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,514.89,740.45
Target: CD20,Target: CD20,Other,540.27,740.91
PathCellObject,,Other,716.58,739.93
Target: CD3: CD8,Target: CD3: CD8,Other,142.98,741.47
Target: CD20: CD68,Target: CD20: CD68,Other,191.34,741.02
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,497.99,739.7
Target: CD20,Target: CD20,Other,522.98,740.85
PathCellObject,,Other,561.77,741.38
Target: CD68,Target: CD68,Other,102.86,742.58
Target: CD20,Target: CD20,Other,133.32,741.84
PathCellObject,,Other,28.95,743.63
PathCellObject,,Other,379.25,742.62
PathCellObject,,Other,723.72,744.33
Target: CD20: CD68: CD3,Target: CD20: CD68: CD3,Other,459.2,745.34
Target: CD20,Target: CD20,Other,532.1,744.99
Target: CD20,Target: CD20,Other,324.12,743.72
Target: CD20: CD68,Target: CD20: CD68,Other,506.09,743.83
PathCellObject,,Other,47.08,744.68
PathCellObject,,Other,183.13,743.51
Target: CD20,Target: CD20,Other,217.22,745.28
PathCellObject,,Other,418.34,744.25
Target: CD20,Target: CD20,Other,226.12,744.8
PathCellObject,,Other,151.85,743.82
PathCellObject,,Other,159.9,744.95
Target: CD20,Target: CD20,Other,198.28,747.38
PathCellObject,,Other,554.03,748.96
Target: CD8,Target: CD8,Other,755.63,745.5
Target: CD20,Target: CD20,Other,96.24,747.75
PathCellObject,,Other,264.12,747.72
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Other,495.19,747.04
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Other,466.85,744.74
Target: CD20: CD3,Target: CD20: CD3,Other,519.58,746.64
PathCellObject,,Other,78.09,746.09
Target: CD20,Target: CD20,Other,482.11,746.83
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,168.15,748.59
Target: CD20: CD8,Target: CD20: CD8,Other,432.74,746.99
Target: CD20,Target: CD20,Other,439.33,748.42
PathCellObject,,Other,764.88,748
Target: CD20,Target: CD20,Other,445.27,747.89
Target: CD20,Target: CD20,Other,472.08,748.16
PathCellObject,,Other,68.77,750.59
Target: CD20: CD3,Target: CD20: CD3,Other,149.54,748.43
Target: CD20,Target: CD20,Other,180.69,751.6
PathCellObject,,Other,143.88,750.13
Target: CD20,Target: CD20,Other,477.21,749.21
Target: CD20: CD68,Target: CD20: CD68,Other,133.9,751.49
Target: CD20,Target: CD20,Other,541.45,749.88
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,190.34,755.44
Target: CD20,Target: CD20,Other,513.51,750.3
Target: CD20,Target: CD20,Other,528.31,749.48
Target: CD3: CD8,Target: CD3: CD8,Other,748.04,751.8
Target: CD68,Target: CD68,Other,111.24,751.83
Target: CD20,Target: CD20,Other,224.44,750.66
PathCellObject,,Other,254.35,751.98
Target: CD20,Target: CD20,Other,734.42,751.35
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,39.85,752.83
Target: CD20: CD68,Target: CD20: CD68,Other,121.33,753.9
Target: CD20,Target: CD20,Other,453.43,752.92
Target: CD20,Target: CD20,Other,419.07,755.47
PathCellObject,,Other,723.71,755.85
Target: CD3: CD4,Target: CD3: CD4,Other,157.68,754.11
Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,Other,174.6,755.76
PathCellObject,,Other,307,752.35
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,465.27,753.17
Target: CD20: CD68,Target: CD20: CD68,Other,505.91,753.36
Target: CD20,Target: CD20,Other,523.84,753.31
PathCellObject,,Other,335.94,756.59
Target: CD20,Target: CD20,Other,497.1,754.62
Target: CD20,Target: CD20,Other,211.07,753.42
Target: CD20,Target: CD20,Other,473.33,754.65
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Other,484.01,753.16
PathCellObject,,Other,55.5,758.12
Target: CD20,Target: CD20,Other,88.44,754.82
Target: CD68: CD8,Target: CD68: CD8,Other,321.84,755.24
Target: CD20,Target: CD20,Other,427.33,755.8
Target: CD20,Target: CD20,Other,149.33,755.99
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,229.85,755.58
Target: CD20,Target: CD20,Other,326.99,760.11
Target: CD20,Target: CD20,Other,534.08,755.72
PathCellObject,,Other,761.46,756.33
PathCellObject,,Other,96.52,756.98
Target: CD20: CD68,Target: CD20: CD68,Other,444.76,757.81
Target: CD20: CD68,Target: CD20: CD68,Other,490.19,757.32
Target: CD3: CD4,Target: CD3: CD4,Other,740.17,758.65
Target: CD20,Target: CD20,Other,78.06,758.12
PathCellObject,,Other,165.25,759.14
Target: CD20: CD68,Target: CD20: CD68,Other,512.75,757.16
Target: CD20,Target: CD20,Other,519.5,757.12
PathCellObject,,Other,136.17,760.89
Target: CD68,Target: CD68,Other,250.68,759.78
Target: CD20,Target: CD20,Other,478.02,758.53
Target: CD20: CD68,Target: CD20: CD68,Other,544.98,759.63
Target: CD20: CD4,Target: CD20: CD4,Other,222,759.57
Target: CD20: CD68,Target: CD20: CD68,Other,435.11,759.89
Target: CD3: CD4,Target: CD3: CD4,Other,748.22,763.41
Target: CD20: CD8,Target: CD20: CD8,Other,211.02,761.2
Target: CD20: CD3,Target: CD20: CD3,Other,461.31,759.38
PathCellObject,,Other,302.8,762.13
Target: CD20: CD3,Target: CD20: CD3,Other,526.89,760.14
PathCellObject,,Other,42.52,763.56
Target: CD20,Target: CD20,Other,500.16,763.67
Target: CD20,Target: CD20,Other,115.19,761.56
Target: CD20,Target: CD20,Other,484.46,763.01
Target: CD68,Target: CD68,Other,104.9,765.45
PathCellObject,,Other,410.95,761.12
Target: CD20,Target: CD20,Other,466.8,761.52
PathCellObject,,Other,758.42,767.05
Target: CD20,Target: CD20,Other,450.64,762.79
Target: CD20,Target: CD20,Other,509.92,762.97
Target: CD20,Target: CD20,Other,150.14,764.78
Target: CD20,Target: CD20,Other,516.9,763.58
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,535.25,762.64
Target: CD20,Target: CD20,Other,456.54,764.21
Target: CD20,Target: CD20,Other,478.2,765.08
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,240.51,765.03
PathCellObject,,Other,310.6,766.36
Target: CD20,Target: CD20,Other,430.18,766.16
Target: CD20,Target: CD20,Other,470.93,767.02
Target: CD20,Target: CD20,Other,491.12,766.46
Target: CD20,Target: CD20,Other,523.54,766.39
Target: CD68,Target: CD68,Other,90.04,768.23
Target: CD20: CD68: CD8,Target: CD20: CD68: CD8,Other,172.29,766.87
Target: CD20: CD68,Target: CD20: CD68,Other,442.55,766.4
Target: CD20,Target: CD20,Other,532.27,768.05
Target: CD20: CD68,Target: CD20: CD68,Other,76.9,768.45
Target: CD20,Target: CD20,Other,117.96,768.08
Target: CD68: CD4,Target: CD68: CD4,Other,141.12,767.34
Target: CD3: CD8,Target: CD3: CD8,Other,206.94,769.04
Target: CD20,Target: CD20,Other,421.11,768.27
Target: CD3: CD8,Target: CD3: CD8,Other,164.06,770.48
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,219.14,769.44
PathCellObject,,Other,319.13,772.64
Target: CD20,Target: CD20,Other,411.09,768.86
Target: CD20,Target: CD20,Other,461.98,768.01
PathCellObject,,Other,59.62,771.22
Target: CD20: CD4,Target: CD20: CD4,Other,125.49,771.3
PathCellObject,,Other,296.56,770.97
Target: CD20: CD3,Target: CD20: CD3,Other,508.33,768.98
Target: CD20: CD68,Target: CD20: CD68,Other,541.98,768.52
PathCellObject,,Other,638.32,768.21
PathCellObject,,Other,731.78,770.9
Target: CD4,Target: CD4,Other,131.92,768.93
Target: CD20,Target: CD20,Other,183.68,769.55
PathCellObject,,Other,250.93,769.56
Target: CD20,Target: CD20,Other,436.55,771.68
PathCellObject,,Other,393.52,769.91
Target: CD20,Target: CD20,Other,449.55,770.47
PathCellObject,,Other,226.37,775.47
Target: CD8,Target: CD8,Other,156.42,772.45
Target: CD20,Target: CD20,Other,486.51,773.12
PathCellObject,,Other,627.6,772
Target: CD20,Target: CD20,Other,523.49,773.03
Target: CD20,Target: CD20,Other,408.89,774.3
Target: CD20,Target: CD20,Other,495.3,775.42
Target: CD20,Target: CD20,Other,502.02,772.8
Target: CD20,Target: CD20,Other,514.81,772.77
Target: CD20: CD68,Target: CD20: CD68,Other,546.94,772.88
Target: CD68,Target: CD68,Other,136.33,774.72
Target: CD20: CD68,Target: CD20: CD68,Other,146.5,773.92
Target: CD20: CD68,Target: CD20: CD68,Other,196.77,772.88
Target: CD20,Target: CD20,Other,462.21,773.75
Target: CD20,Target: CD20,Other,478.2,776.16
Target: CD20,Target: CD20,Other,537.32,776.12
Target: CD20,Target: CD20,Other,426.79,773.92
Target: CD20: CD68,Target: CD20: CD68,Other,174.07,775.58
Target: CD20: CD4,Target: CD20: CD4,Other,238.55,773.74
PathCellObject,,Other,401.37,773.01
Target: CD68: CD3,Target: CD68: CD3,Other,99.66,776.92
Target: CD20,Target: CD20,Other,441.93,774.83
Target: CD20,Target: CD20,Other,454.67,776.1
PathCellObject,,Other,740.62,778.29
Target: CD20,Target: CD20,Other,83.06,777.4
Target: CD20: CD68,Target: CD20: CD68,Other,115.82,776.63
Target: CD20: CD4: CD8,Target: CD20: CD4: CD8,Other,211.35,779.42
Target: CD20,Target: CD20,Other,469.24,778.73
Target: CD68,Target: CD68,Other,553.12,775.28
Target: CD20,Target: CD20,Other,506.13,778.2
PathCellObject,,Other,644.69,777.95
Target: CD20,Target: CD20,Other,252.89,778.19
Target: CD20: CD3,Target: CD20: CD3,Other,447.37,778.1
Target: CD20,Target: CD20,Other,414.78,779.42
Target: CD20,Target: CD20,Other,520.3,778.27
Target: CD68,Target: CD68,Other,187.26,780.22
Target: CD20: CD68,Target: CD20: CD68,Other,245.23,781.07
PathCellObject,,Other,434.38,779.37
Target: CD20,Target: CD20,Other,528.04,780.36
Target: CD20,Target: CD20,Other,426.1,779.43
PathCellObject,,Other,130.66,781.33
Target: CD20: CD68,Target: CD20: CD68,Other,141.89,782.66
Target: CD20: CD8,Target: CD20: CD8,Other,151.75,781.28
PathCellObject,,Other,399.84,783.72
Target: CD20,Target: CD20,Other,462.05,781.58
Target: CD20,Target: CD20,Other,514.18,781.94
PathCellObject,,Other,563.98,778.95
Target: CD68,Target: CD68,Other,106.04,784.24
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,161,780.38
Target: CD20: CD4,Target: CD20: CD4,Other,199.99,783.47
Target: CD20,Target: CD20,Other,264.98,780.12
Target: CD20,Target: CD20,Other,490.34,780.86
PathCellObject,,Other,622.63,781.88
Target: CD20: CD4,Target: CD20: CD4,Other,235.84,782.26
Target: CD20,Target: CD20,Other,443.32,783.82
Target: CD20,Target: CD20,Other,540.63,785.74
Target: CD4,Target: CD4,Other,124.79,783.3
Target: CD3: CD8,Target: CD3: CD8,Other,176.48,781.73
Target: CD20,Target: CD20,Other,486.2,784.45
Target: CD20,Target: CD20,Other,65.51,782.97
Target: CD20,Target: CD20,Other,419.41,785.1
Target: CD20: CD3,Target: CD20: CD3,Other,455.19,783.29
Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,Other,168.4,784.4
Target: CD20,Target: CD20,Other,257.1,783.31
Target: CD20,Target: CD20,Other,495.17,783.47
PathCellObject,,Other,591.08,782.96
PathCellObject,,Other,637.42,784.62
Target: CD20,Target: CD20,Other,553.91,785.87
Target: CD68,Target: CD68,Other,82.14,785.7
Target: CD20: CD68,Target: CD20: CD68,Other,117.55,786.1
Target: CD68,Target: CD68,Other,428.65,785.5
Target: CD20,Target: CD20,Other,502.43,784
Target: CD20,Target: CD20,Other,547.54,786.82
Target: CD68,Target: CD68,Other,561.95,786.7
Target: CD68: CD8,Target: CD68: CD8,Other,181.08,786.56
Target: CD20,Target: CD20,Other,434.84,790.65
Target: CD20: CD68: CD3: CD8,Target: CD20: CD68: CD3: CD8,Other,159.45,787.6
Target: CD20,Target: CD20,Other,406.36,790.45
Target: CD20,Target: CD20,Other,468.66,788.71
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,133.67,789.84
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Other,149.88,791.14
Target: CD20,Target: CD20,Other,269.53,789.15
Target: CD20,Target: CD20,Other,450.12,789.85
Target: CD20,Target: CD20,Other,479.29,790.16
Target: CD20,Target: CD20,Other,497.13,790.58
Target: CD20,Target: CD20,Other,530.65,788.01
Target: CD20,Target: CD20,Other,235.26,789.19
PathCellObject,,Other,621.54,790.38
Target: CD20,Target: CD20,Other,73.29,792.2
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,258.65,790.61
Target: CD20,Target: CD20,Other,505.4,789.15
Target: CD20,Target: CD20,Other,455.24,791.92
Target: CD20: CD3,Target: CD20: CD3,Other,513.81,789.69
Target: CD68,Target: CD68,Other,573.11,788.08
Target: CD20,Target: CD20,Other,90.11,791.57
Target: CD20,Target: CD20,Other,186.85,789.98
Target: CD20: CD68,Target: CD20: CD68,Other,206.51,790.87
Target: CD20,Target: CD20,Other,461.37,789.8
PathCellObject,,Other,632.16,793.87
PathCellObject,,Other,712.29,791.4
Target: CD68: CD8,Target: CD68: CD8,Other,173.82,792.02
Target: CD20,Target: CD20,Other,193.07,791.59
Target: CD20,Target: CD20,Other,427,791.73
Target: CD20,Target: CD20,Other,442.39,795
PathCellObject,,Other,599.92,791.49
Target: CD20,Target: CD20,Other,488.81,792.94
Target: CD20,Target: CD20,Other,521.58,790.95
PathCellObject,,Other,581.84,793.01
Target: CD20,Target: CD20,Other,534.84,793.43
Target: CD20,Target: CD20,Other,126.95,795.16
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Other,114.75,794.86
PathCellObject,,Other,252.04,794.78
Target: CD20,Target: CD20,Other,181.21,795.6
Target: CD20,Target: CD20,Other,215.4,794.6
Target: CD20,Target: CD20,Other,242.96,794.11
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,164.96,795.37
Target: CD20: CD68,Target: CD20: CD68,Other,230.1,794.72
Target: CD20,Target: CD20,Other,551.26,795.52
PathCellObject,,Other,701.84,794.12
Target: CD20,Target: CD20,Other,143.03,795.36
Target: CD20,Target: CD20,Other,422.09,795.84
Target: CD20,Target: CD20,Other,461.58,796.55
Target: CD20: CD68,Target: CD20: CD68,Other,560.64,795.28
Target: CD68,Target: CD68,Other,100.13,795.08
Target: CD20,Target: CD20,Other,156.42,796.12
Target: CD20,Target: CD20,Other,526.28,796.27
PathCellObject,,Other,568.69,796.27
Target: CD20,Target: CD20,Other,511.4,796.68
Target: CD20,Target: CD20,Other,542.25,796.59
PathCellObject,,Other,608.81,795.64
PathCellObject,,Other,296.62,795.3
Target: CD20,Target: CD20,Other,473.96,796.77
PathCellObject,,Other,189.09,797.43
Target: CD20,Target: CD20,Other,493.03,797.44
Target: CD20,Target: CD20,Other,503.45,796.81
Target: CD20,Target: CD20,Other,518.87,797.48
Target: CD20,Target: CD20,Other,533.25,797.57
PathCellObject,,Other,723.42,795.92
PathCellObject,,Tumor,595.74,7.17
Target: CD8,Target: CD8,Tumor,662.71,3.007
PathCellObject,,Tumor,682.97,8.42
PathCellObject,,Tumor,673.99,3.677
PathCellObject,,Tumor,646.1,8.447
PathCellObject,,Tumor,584.03,9.78
PathCellObject,,Tumor,695.11,6.492
PathCellObject,,Tumor,621.08,12.27
PathCellObject,,Tumor,570.88,7.235
Target: CD8,Target: CD8,Tumor,659.92,11.27
PathCellObject,,Tumor,563.57,8.656
PathCellObject,,Tumor,671.4,14.35
PathCellObject,,Tumor,635.27,11.01
PathCellObject,,Tumor,553.63,16.82
PathCellObject,,Tumor,574.53,14.42
PathCellObject,,Tumor,604.27,14.26
PathCellObject,,Tumor,692.61,15.17
PathCellObject,,Tumor,567.14,18.47
Target: CD3,Target: CD3,Tumor,630.25,24.65
PathCellObject,,Tumor,580.8,24.12
PathCellObject,,Tumor,685.42,21.06
Target: CD8,Target: CD8,Tumor,657.48,21.18
PathCellObject,,Tumor,695.46,25.54
PathCellObject,,Tumor,601.2,24.64
PathCellObject,,Tumor,569.77,29.23
PathCellObject,,Tumor,615.49,29.92
PathCellObject,,Tumor,545.96,29.15
PathCellObject,,Tumor,665.76,27.06
PathCellObject,,Tumor,641.5,29.98
PathCellObject,,Tumor,657,33.71
PathCellObject,,Tumor,593.12,32.03
PathCellObject,,Tumor,680.19,35.31
PathCellObject,,Tumor,670.56,37.7
PathCellObject,,Tumor,605.08,40.09
PathCellObject,,Tumor,664.54,47.18
PathCellObject,,Tumor,343.75,44.65
PathCellObject,,Tumor,328.19,53.79
PathCellObject,,Tumor,339.07,55.32
PathCellObject,,Tumor,680.29,53.52
PathCellObject,,Tumor,649.04,58.2
PathCellObject,,Tumor,665.25,60.98
PathCellObject,,Tumor,356.27,60.79
PathCellObject,,Tumor,346.34,59.26
PathCellObject,,Tumor,676.4,61.86
PathCellObject,,Tumor,660.07,64.17
PathCellObject,,Tumor,344.13,67.91
PathCellObject,,Tumor,655.51,69.05
PathCellObject,,Tumor,690.38,70.5
PathCellObject,,Tumor,330.51,72.06
PathCellObject,,Tumor,646.6,75.06
PathCellObject,,Tumor,661.23,74.62
PathCellObject,,Tumor,365.02,76.98
PathCellObject,,Tumor,668.98,75.52
PathCellObject,,Tumor,674.73,74.4
PathCellObject,,Tumor,680.06,75.07
PathCellObject,,Tumor,342.45,77.29
PathCellObject,,Tumor,675.65,84.51
PathCellObject,,Tumor,658,84.78
PathCellObject,,Tumor,330.86,82.65
PathCellObject,,Tumor,683.12,83.92
PathCellObject,,Tumor,692.97,86.83
Target: CD20,Target: CD20,Tumor,648.82,90.24
PathCellObject,,Tumor,322.97,84.92
PathCellObject,,Tumor,358.12,85.31
PathCellObject,,Tumor,350.62,89.44
PathCellObject,,Tumor,341.63,87.52
PathCellObject,,Tumor,668.18,92.54
PathCellObject,,Tumor,334.64,93.12
PathCellObject,,Tumor,366.97,96.23
Target: CD20,Target: CD20,Tumor,634.21,94.93
Target: CD8,Target: CD8,Tumor,610.04,97.65
PathCellObject,,Tumor,349.07,97.49
PathCellObject,,Tumor,357.13,98.86
Target: CD20,Target: CD20,Tumor,596.45,99.46
PathCellObject,,Tumor,344.82,102
PathCellObject,,Tumor,693.12,100.6
PathCellObject,,Tumor,337.22,105.59
PathCellObject,,Tumor,355.06,107.7
PathCellObject,,Tumor,685.93,105.5
PathCellObject,,Tumor,366.05,107.44
PathCellObject,,Tumor,633.98,113.5
PathCellObject,,Tumor,696.84,109.03
PathCellObject,,Tumor,373.81,112.49
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Tumor,616.85,109.66
PathCellObject,,Tumor,681.43,109.61
PathCellObject,,Tumor,601.43,114.16
PathCellObject,,Tumor,609.85,115.14
PathCellObject,,Tumor,688.37,116.66
PathCellObject,,Tumor,701.64,117.4
PathCellObject,,Tumor,592.87,116.65
PathCellObject,,Tumor,676.99,124.69
Target: CD68,Target: CD68,Tumor,619.42,122.58
PathCellObject,,Tumor,359.78,123.07
PathCellObject,,Tumor,691.82,128.47
PathCellObject,,Tumor,609.61,132.1
PathCellObject,,Tumor,626.71,130.18
PathCellObject,,Tumor,701.02,128.55
PathCellObject,,Tumor,685.85,147.17
PathCellObject,,Tumor,373.7,151
PathCellObject,,Tumor,378.62,163.12
PathCellObject,,Tumor,388.74,173.65
PathCellObject,,Tumor,340.5,172.29
PathCellObject,,Tumor,710.5,176.17
PathCellObject,,Tumor,336.27,180.81
PathCellObject,,Tumor,701.48,190.56
PathCellObject,,Tumor,717.15,192.27
PathCellObject,,Tumor,338.64,193.26
PathCellObject,,Tumor,353.47,200.89
PathCellObject,,Tumor,366.35,196.72
PathCellObject,,Tumor,374.03,197.33
PathCellObject,,Tumor,731.7,200.51
PathCellObject,,Tumor,379.3,200.58
PathCellObject,,Tumor,317.18,204.99
PathCellObject,,Tumor,329.28,205.09
PathCellObject,,Tumor,339.03,210.39
PathCellObject,,Tumor,381.36,207.34
PathCellObject,,Tumor,367.23,211.15
PathCellObject,,Tumor,345.87,217.88
PathCellObject,,Tumor,330.52,215.58
PathCellObject,,Tumor,730.46,217.15
PathCellObject,,Tumor,312.64,218.44
PathCellObject,,Tumor,383.08,219.67
PathCellObject,,Tumor,325.55,219.71
PathCellObject,,Tumor,361.32,220.19
PathCellObject,,Tumor,745.25,225.67
PathCellObject,,Tumor,786.17,223.73
PathCellObject,,Tumor,193.01,222.38
PathCellObject,,Tumor,398.37,226.54
PathCellObject,,Tumor,372.62,223.1
PathCellObject,,Tumor,204.21,224.84
PathCellObject,,Tumor,363.5,228.78
PathCellObject,,Tumor,186.54,229.61
PathCellObject,,Tumor,316.21,229.18
PathCellObject,,Tumor,351.17,228.8
PathCellObject,,Tumor,425.34,230.35
PathCellObject,,Tumor,373.29,229.65
Target: CD20,Target: CD20,Tumor,340.52,232.48
PathCellObject,,Tumor,733.78,231.45
PathCellObject,,Tumor,203.89,237.24
PathCellObject,,Tumor,380.53,237.57
PathCellObject,,Tumor,365.4,237.37
PathCellObject,,Tumor,730.15,236.64
PathCellObject,,Tumor,393.32,242.4
Target: CD20: CD8,Target: CD20: CD8,Tumor,349.78,240.79
PathCellObject,,Tumor,440.13,242.48
PathCellObject,,Tumor,185.6,244.05
PathCellObject,,Tumor,421.56,241.54
PathCellObject,,Tumor,404.73,241.69
PathCellObject,,Tumor,411.42,244.81
PathCellObject,,Tumor,427.35,251.8
PathCellObject,,Tumor,399.95,252.27
PathCellObject,,Tumor,204.98,252.35
PathCellObject,,Tumor,410.86,255.42
PathCellObject,,Tumor,441.9,254.43
PathCellObject,,Tumor,183.75,256.19
PathCellObject,,Tumor,449.07,257.01
PathCellObject,,Tumor,420.87,264.61
PathCellObject,,Tumor,434.36,260.23
PathCellObject,,Tumor,455.57,262.03
PathCellObject,,Tumor,202.25,264.46
PathCellObject,,Tumor,405.17,270.23
PathCellObject,,Tumor,433.82,268.06
PathCellObject,,Tumor,444.84,266.94
PathCellObject,,Tumor,455.66,269.97
PathCellObject,,Tumor,440.89,279.39
PathCellObject,,Tumor,465.26,277.17
PathCellObject,,Tumor,196.96,275.17
PathCellObject,,Tumor,426.59,278.03
PathCellObject,,Tumor,453.97,284.57
PathCellObject,,Tumor,432.62,284.01
PathCellObject,,Tumor,435.97,291.79
PathCellObject,,Tumor,193.9,291.71
PathCellObject,,Tumor,177.22,296.97
PathCellObject,,Tumor,442.98,299.06
PathCellObject,,Tumor,455.41,298.18
PathCellObject,,Tumor,191.79,304.42
PathCellObject,,Tumor,473.29,306.02
PathCellObject,,Tumor,487.99,304.5
PathCellObject,,Tumor,461.01,304.99
PathCellObject,,Tumor,448.75,308.87
PathCellObject,,Tumor,461.63,313.77
PathCellObject,,Tumor,528.45,312.61
PathCellObject,,Tumor,494.13,315.92
PathCellObject,,Tumor,450.1,316.57
PathCellObject,,Tumor,459.67,326.32
PathCellObject,,Tumor,447.64,323.28
PathCellObject,,Tumor,527.4,325.56
PathCellObject,,Tumor,471.6,327.94
Target: CD20,Target: CD20,Tumor,498.72,324.83
PathCellObject,,Tumor,437.07,328.94
PathCellObject,,Tumor,487.36,328.59
PathCellObject,,Tumor,452.98,334.35
PathCellObject,,Tumor,486.97,341.47
PathCellObject,,Tumor,475.57,341.11
PathCellObject,,Tumor,465.73,343.89
PathCellObject,,Tumor,500.59,343.68
PathCellObject,,Tumor,332.74,346.92
PathCellObject,,Tumor,474.48,352.52
PathCellObject,,Tumor,351.2,349.97
PathCellObject,,Tumor,346.42,361.35
Target: CD20,Target: CD20,Tumor,461.8,360.91
PathCellObject,,Tumor,325.42,360.1
PathCellObject,,Tumor,474.54,364.62
PathCellObject,,Tumor,334.45,364.59
PathCellObject,,Tumor,251.08,375.5
PathCellObject,,Tumor,326.69,375.69
PathCellObject,,Tumor,466.38,372.42
PathCellObject,,Tumor,230.44,372.85
PathCellObject,,Tumor,217.74,378.93
PathCellObject,,Tumor,481.55,377.34
Target: CD20,Target: CD20,Tumor,467.88,381.7
PathCellObject,,Tumor,500.19,378.09
PathCellObject,,Tumor,235.81,386.64
PathCellObject,,Tumor,341.97,381.43
PathCellObject,,Tumor,493.07,391.85
PathCellObject,,Tumor,268.92,388.15
PathCellObject,,Tumor,472.81,388.71
PathCellObject,,Tumor,589.59,390.53
