Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
8b71354f-dc4f-4b53-82be-52be96a3a994,Target: CD20: CD68,Target: CD20: CD68,Other,193.22,2.909
ce5be28a-e389-47b9-8955-3af9b5a2f1c3,Target: CD68,Target: CD68,Other,206.57,4.391
4bcdf705-ed82-437c-8d90-9eb0433128aa,PathCellObject,,Other,221.33,3.612
a5ae6768-10e8-4e6a-b2d3-ba1c30ae8b7b,PathCellObject,,Other,265.66,3.988
bb0aa431-e3c2-44c2-9ea5-f7d42f09376d,Target: CD68: CD4,Target: CD68: CD4,Other,362.24,2.31
8eb9cf97-5f73-478b-a301-3c882138b844,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,389.68,3.108
74da3083-0cb7-449c-aef3-affc965a5e5a,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,469.66,2.412
ab92c32c-2bc8-4cb1-a8bb-06e3cf8efc0d,Target: CD3: CD4,Target: CD3: CD4,Other,528.3,4.792
7a036ad8-93e0-41bc-924e-3d8ea14c9962,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,587.89,4.115
16d35a67-6e2f-4e1d-a5ce-07e5a3284f88,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,603.42,4.024
c236edec-cb6b-4fd5-a9b0-d79bf31fdc4c,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,613.19,2.171
b83c0e89-cd57-435f-8fc1-caf5576d375c,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,657.5,6.587
8d053d8d-e96a-40be-91aa-9b3922d47638,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,684.81,2.745
a84f53a6-4b4b-4939-9348-af9cbc296188,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,702.12,3.478
929cc980-5830-4497-b39d-f0222a77fc55,Target: CD20,Target: CD20,Other,712.23,2.653
3b489ff9-0999-4cae-81c2-9ae23a930af4,Target: CD8,Target: CD8,Other,740.32,4.045
34f00527-53c8-49a6-b32e-9976609479b2,PathCellObject,,Other,298.05,5.822
cd0386f6-b593-4bb5-a088-d601244392bd,PathCellObject,,Other,340.87,3.821
0d331f78-7ca7-4664-8c9d-9066354b7394,Target: CD20: CD4,Target: CD20: CD4,Other,376.55,2.284
7c7df43c-561f-473a-85a7-17f7a0b43c68,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,485.97,3.22
269017bc-51e9-4632-b426-7bf9d457a020,Target: CD3: CD4,Target: CD3: CD4,Other,501.77,4.646
4feb3872-9b0a-48b3-9f85-c8ef8a22b31d,Target: CD20: CD3,Target: CD20: CD3,Other,631.23,3.285
982da9e4-9556-47b5-b8d5-9a020808bf15,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,693.32,3.555
26548ba0-67d0-46d4-b67d-858f43ae3591,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,728.09,4.513
fdc15aea-4fdc-4cf5-a4fe-991b473b79cb,Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Other,776.06,2.851
2d4bc37b-2d77-4f3a-a9b5-af69d1b07bd9,Target: CD3: CD4,Target: CD3: CD4,Other,791.97,4.086
fd1cecfb-473c-4fa7-88f0-f2630af70c14,Target: CD3: CD4,Target: CD3: CD4,Other,403.51,4.374
6d2c27d3-20af-4ad3-b65c-66acde7c805e,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,461.34,5.148
a334104d-0673-425e-8c03-841d7b32448f,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,619.62,6.505
362eef5c-8b29-44e6-8c96-762517ec08d8,Target: CD3: CD4,Target: CD3: CD4,Other,442.74,4.381
a37512f3-5776-40ba-8069-3dd9a3e6dbe8,Target: CD20,Target: CD20,Other,646.42,6.742
d80f2e7d-eb14-42e3-beab-720b20959fa5,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,578.92,5.812
8fbefa96-a592-4009-8a57-c3bd8696c59b,Target: CD20,Target: CD20,Other,638.11,6.506
f9bf4043-18df-46d4-8da8-e4c3aa83de41,Target: CD3: CD8,Target: CD3: CD8,Other,175.9,4.72
ed6f18fa-2854-4505-8c78-77ad2b0456b5,Target: CD20: CD3,Target: CD20: CD3,Other,240.58,6.824
b8327491-5c21-4be8-8af4-c6f07a5cf233,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,435.77,6.706
6cfd2305-886e-401d-b841-17d8a522bdb9,Target: CD3: CD4,Target: CD3: CD4,Other,515.4,6.005
c6cd774d-4761-4413-8eb8-51a34f5f4bbb,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,625.75,4.098
046595cf-0a33-4bea-a893-52ef77aa43c1,Target: CD3: CD8,Target: CD3: CD8,Other,188.58,12.41
eb1fed85-c55a-4260-8ddf-e1f0b89b16ba,Target: CD3: CD4,Target: CD3: CD4,Other,450.51,5.359
48dfd238-9276-4e5d-91a0-93cb5d41c31d,Target: CD3: CD8,Target: CD3: CD8,Other,751.06,5.492
55577530-41b1-47d7-92f6-f15496b3c661,PathCellObject,,Other,40.88,7.915
39bc0ffd-4d22-4191-9c8f-9bb3606323d8,Target: CD20,Target: CD20,Other,212.25,8.319
d80aeef9-b5a9-4d18-8ce4-3ee30cdcdd3c,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,383.58,10.11
6b1539e7-d79c-4e72-92e4-39541c11c716,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,567.36,7.006
780722d6-eebb-4cca-8e3d-3d6d6aa0b05f,PathCellObject,,Other,163.12,8.627
5218a472-2149-4ede-8562-ba63dd187b88,Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Other,199.77,6.701
ae1638fb-5ebc-4c40-80ae-05773e61417a,PathCellObject,,Other,232.9,6.569
a1b7b1d6-2923-417b-8b63-28ffeeadc064,Target: CD4,Target: CD4,Other,369.97,8.275
8f68d40d-cf58-4b90-8501-3ec4c1e12af6,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,491.91,8.602
828d3aba-43b9-4c9d-8414-93564384d800,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,555.65,4.79
f0b4ae94-8575-4a0c-80db-fd61f7b66cda,Target: CD20: CD3,Target: CD20: CD3,Other,309.3,7.102
292a60d2-aa49-4918-a911-5c8365078db9,Target: CD3: CD4,Target: CD3: CD4,Other,475.99,6.849
