Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
ce167ec8-6fbe-42a8-81f2-6f8dbc45f740,Target: CD20: CD8,Target: CD20: CD8,Other,205,2.891
69c29979-2ecd-401a-8e70-75eb8bcbef26,PathCellObject,,Other,243.5,5.062
14773f05-14df-4a50-8842-2f16722c9510,PathCellObject,,Other,342.32,3.543
b38cfc76-5b75-4895-b218-54788c443bd7,PathCellObject,,Other,352.45,4.204
b984f876-c4da-4da4-be3e-0a709797bcc4,PathCellObject,,Other,750.59,4.894
b21babf3-e0e3-455a-95d3-95881bb44ead,Target: CD20: CD4,Target: CD20: CD4,Other,148.72,5.671
23fecc46-9a73-4812-b0cd-771ea74ac326,PathCellObject,,Other,333.29,3.691
85e6f5a6-bd11-4e88-b7ba-58231e4c0179,PathCellObject,,Other,471.25,3.669
913caad6-ead8-4538-872e-0f962e7d4365,PathCellObject,,Other,497.32,4.121
e1bf7afe-b388-4aff-9f14-0bb74a5f4e6c,PathCellObject,,Other,560.56,3.838
c708cbf5-db64-4da4-a58b-b8fa654de67b,PathCellObject,,Other,583.21,4.571
369e1a23-b0b7-48c1-96e2-7efdb828148a,PathCellObject,,Other,666.5,3.962
5fff49bf-1c91-4efd-9a5f-60464b2dadcd,PathCellObject,,Other,778.15,3.407
37ec8eab-8cc0-439f-83cd-a2bcbeca066f,Target: CD3: CD4,Target: CD3: CD4,Other,218.02,6.184
979ed50a-d264-44a6-a5d4-bc6276d1377c,Target: CD3: CD4,Target: CD3: CD4,Other,231.93,5.993
a9b63d50-2d2e-4650-b350-e0f82bcb9583,PathCellObject,,Other,693.91,3.535
cb9f26d1-83c4-4bcd-b6ed-bf5af68409d6,PathCellObject,,Other,713.76,5.245
e5cf2736-5e14-4dcb-8f01-e8ce824fa5ce,Target: CD3,Target: CD3,Other,105.72,6.389
e23c90f3-33a3-41b8-8851-98e20964a9fb,Target: CD20: CD3,Target: CD20: CD3,Other,118.03,6.578
a4aa026e-a2a2-4c9c-8cf2-1d542ebbe494,PathCellObject,,Other,480.02,6.059
de1153e0-5aaa-44ca-be50-2b5f5cd6b2bb,PathCellObject,,Other,765.55,5.704
c73e3678-f807-4d71-bd1b-6bba6fc2f920,PathCellObject,,Other,544.08,8.526
62bae166-4e9c-4590-8cd9-72e0126ed2bf,Target: CD20,Target: CD20,Other,599.34,5.307
e7268a1e-e90e-4fa9-bac7-da22ff6f1598,PathCellObject,,Other,157.15,7.697
ec6a82ec-7cda-41f5-a77c-0b0f8f0b323d,PathCellObject,,Other,166,7.188
ee7b1980-59aa-449b-8129-a7488b69f6c2,Target: CD20: CD68,Target: CD20: CD68,Other,139.04,7.686
6e6ba38e-1962-4a82-91e8-a050398a3839,Target: CD3,Target: CD3,Other,528.25,6.76
20b04a69-83cf-4040-a0c2-f5aa9b37ca1b,PathCellObject,,Other,682.65,7.204
be7e6322-5fe6-48b1-b028-da1316439d2a,PathCellObject,,Other,426.54,6.93
dc930a5d-19b1-40f6-a9fe-a29b49aa100b,PathCellObject,,Other,326.28,11.64
631422c0-07de-4868-a3b9-1e9d10926959,PathCellObject,,Other,400.48,9.423
