Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
89c6f51c-0ff0-4736-a003-5614f4d8ead6,Target: CD68,Target: CD68,Other,793.46,2.148
1cf04f74-2dde-4d1a-9c3c-16d508140431,Target: CD3: CD4: CD8: FoxP3,Target: CD3: CD4: CD8: FoxP3,Other,636.01,1.913
4f95ed23-a520-46c2-804c-2b637013fc37,PathCellObject,,Other,674.45,6.173
1033ee84-e595-4dd0-9582-ce0a1241d7a0,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Other,585.26,6.871
4d6b290a-4e25-42a6-bb78-c6790cfbc669,Target: CD20,Target: CD20,Other,618.95,5.38
7853c8c0-c96c-4d98-ab40-2f729a04de25,Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Other,742.27,5.6
77a95b88-3df6-42a4-8444-65e793f66c3b,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,335.82,8.614
117b8cd5-78bc-467c-bc77-6b8a1d8cf1b4,Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,636.87,7.962
efba0be6-83e6-4f67-8930-2b29941c737f,Target: CD3: CD8,Target: CD3: CD8,Other,762.11,6.669
ce510d2a-695a-46f9-a5e8-495ed2f970b9,Target: CD8,Target: CD8,Other,791,9.028
f359d8b2-e5fe-44ad-b1c9-9fc1ddff00d5,PathCellObject,,Other,690.97,6.919
213b942c-3de1-42d0-b5ad-9bbc8ea2594a,Target: CD3: CD8,Target: CD3: CD8,Other,608.52,8.024
57fe2f62-0c63-4fd0-a426-3fb66ae58e6d,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,548.77,9.548
b2e11811-5aa2-4ab7-90d1-6eff373af28d,Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Other,560.42,9.061
e412d0d6-b4db-4407-9d60-323818ca7700,Target: CD20: CD68: CD3: CD4: CD8: FoxP3,Target: CD20: CD68: CD3: CD4: CD8: FoxP3,Other,571.45,8.964
b8dcdf4f-af76-4013-a907-83a11733244e,Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Other,597.55,9.112
f15e9cdd-e831-432e-bdd8-e3e6ca219341,Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Other,723.91,9.454
836a684f-5e4e-4bd9-b6e6-4647ec2ebce6,Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Other,397.57,11.5
ecaeb15e-af86-40a0-9586-c3f28d74cfcb,Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Other,478.78,11.53
