Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
932b1334-537a-4ed3-8743-ab5af170fb9c,PathCellObject,,Tumor,497.64,4.847
284a03f1-44ae-4aad-8076-0fd2dbb20bb8,PathCellObject,,Tumor,68.49,8.245
bf35af2b-6626-449d-8e00-164b0f9250fe,PathCellObject,,Tumor,54.26,9.921
471d05a1-fc98-40ac-a0da-94c11c388a02,PathCellObject,,Tumor,467.72,15.62
285d80e4-aa46-4747-b8de-639567b549dc,PathCellObject,,Tumor,108.83,17.67
f7840a24-5fed-4861-ae3b-5a2d4843a5fd,PathCellObject,,Tumor,524.63,16.19
a3ccac21-6e27-4ee5-a53a-82d9823cd697,PathCellObject,,Tumor,94.58,19.34
66882854-c74d-419e-80de-29437d72729b,PathCellObject,,Tumor,56.44,24.88
d6c5d4e3-0b13-43d7-aaec-8b7ee72d42f9,Target: CD8,Target: CD8,Tumor,519.51,24.83
ef86abc2-4b59-4cd3-bee6-de07ece04e61,PathCellObject,,Tumor,97.94,30.78
f511bd0b-13d9-4118-9349-c897d017f50e,PathCellObject,,Tumor,609.67,28.02
6e98c40c-83c5-4e69-9c86-a738ea924aca,Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Tumor,478.83,29.42
4eedb194-45be-4354-9a7b-f4fb6a2aca13,Target: CD68: CD4,Target: CD68: CD4,Tumor,523.68,31.8
b4503ac9-d545-4216-9e1e-70b97d4f75cb,PathCellObject,,Tumor,741.55,32.15
b9d79893-2984-4367-8f7a-cd2e6458e6e3,PathCellObject,,Tumor,416.57,36.23
80e61260-4c1c-41db-89e3-97263dc795c4,PathCellObject,,Tumor,79.77,38.72
813dfa83-44fc-4665-bcd5-9b47c3c7eb53,Target: CD3: CD4,Target: CD3: CD4,Tumor,462.4,39.46
e8c61557-3eea-4f00-aa22-5eef0ea98332,PathCellObject,,Tumor,449.14,44.62
035bc137-5f94-4177-bde2-7a96ad001d7e,Target: CD3: CD8,Target: CD3: CD8,Tumor,565.26,52.84
28b18830-e0e9-45c7-a5d7-7d4ebab955e9,PathCellObject,,Tumor,710.93,54.1
6d7b26bd-941a-48fd-8f11-7e2ba6257864,Target: CD8,Target: CD8,Tumor,492.67,54.89
b7a5f365-45cf-4adc-8c29-079f8f07b714,PathCellObject,,Tumor,134.51,56.7
d0f21abe-6577-4df3-a834-48e453e8a629,PathCellObject,,Tumor,93.02,56.55
849a9a7c-c13f-4670-883e-2b36bf9ea8de,Target: CD68: CD8,Target: CD68: CD8,Tumor,458.06,57.89
1b684399-fc98-4c21-8e20-ef63e7b416a2,Target: CD3: CD8,Target: CD3: CD8,Tumor,500.69,59.29
db427f3c-7ae1-497b-9478-a221c4dc2b42,Target: CD3: CD8,Target: CD3: CD8,Tumor,94.48,65.83
644da3b7-4dbd-46ef-b227-7c6e9ea71850,PathCellObject,,Tumor,484.27,64.96
501b4b74-6531-4bac-a2d0-6238d15838d2,PathCellObject,,Tumor,573.3,66.15
9b3c568a-dc65-4317-9710-479abeacf7c8,PathCellObject,,Tumor,120.13,66.17
f4d809d8-bd97-4be7-87e0-33795d5f01f6,Target: CD4,Target: CD4,Tumor,477.25,70.73
adba02df-056c-4bd4-887b-de130b92cd4a,Target: CD3: CD8,Target: CD3: CD8,Tumor,97.06,74
b08dcd6f-91ca-4584-8103-5172b9f420b5,Target: CD8,Target: CD8,Tumor,502.97,70.23
7aa7e27a-8e3f-4da4-9ffe-2aacc0fea8cb,Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,511.93,73.15
7652bf26-344b-4cfe-b050-d351d0818a21,Target: CD8,Target: CD8,Tumor,114.29,76.52
f67a1d28-71fc-4432-ba63-c7ff7a019c70,PathCellObject,,Tumor,685.93,76.7
3526b299-c83f-4805-bc90-a123a171c431,Target: CD3: CD8,Target: CD3: CD8,Tumor,504.88,80.16
f3ba375a-0044-4b6d-8744-04a233241020,PathCellObject,,Tumor,693.49,81.04
867e5ecf-3832-47aa-b484-e98724ef4458,PathCellObject,,Tumor,332.5,82.87
bd94b6cb-b2ca-43ae-ab83-de31aa8ee6f2,Target: CD3: CD8,Target: CD3: CD8,Tumor,486.67,83.19
b4f18d94-7b32-4125-a485-b216f01926d7,PathCellObject,,Tumor,321.55,82.57
2ff2c531-4c67-4c89-a18a-733798e71ae9,PathCellObject,,Tumor,604.2,83.68
a9a23889-298f-4ff8-afa5-bfb2f5da470f,PathCellObject,,Tumor,710.98,85.68
3627000e-b151-4568-9f8f-91b0fb337fc6,PathCellObject,,Tumor,441.78,87.35
d9624d01-a475-4f08-826a-3cb0cd707559,Target: CD68,Target: CD68,Tumor,461.01,88.39
05c08901-3273-4e69-b535-90429399f1d5,PathCellObject,,Tumor,543.83,88.3
8e5fd5c9-98ff-4625-823e-6489fdda0f11,PathCellObject,,Tumor,339.95,89.68
469b1888-156f-4ce8-9de7-72833d6d3c9d,PathCellObject,,Tumor,560.46,88.42
6d93b98a-cca0-443c-8740-1ecec40f2e5d,PathCellObject,,Tumor,702.37,91.8
91d7fe8c-e10d-4ac1-a26f-8756a6cb2c11,PathCellObject,,Tumor,415.42,90.94
e9da87a4-37d1-40ce-aaf7-0cf3fe6871d4,Target: CD3: CD8,Target: CD3: CD8,Tumor,551.88,95.42
86ba9358-2f2c-4e21-996d-31ef89f07344,PathCellObject,,Tumor,320.89,97.19
264b9d8d-fbda-41cd-897a-9815e1820a8a,PathCellObject,,Tumor,422.24,92.96
b128017b-8b63-45ce-95d7-dcffb196a1eb,PathCellObject,,Tumor,694.94,95.42
5c6d7359-c6eb-47ad-ac59-25d1b9607e23,PathCellObject,,Tumor,429.84,97.61
7568a8e8-7f84-43da-bfcc-1f2bc18d02b0,PathCellObject,,Tumor,600.55,96.31
a1ba54ff-cba1-413a-8b2f-cae78e436d07,Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Tumor,477.51,95.75
696e6751-336a-47ae-ba65-bd11c0051067,Target: CD3: CD8,Target: CD3: CD8,Tumor,561.81,99.23
3e48c1b6-ee4b-4455-a012-cb6d78271b3f,PathCellObject,,Tumor,75.96,98.68
2afcafe3-ecf9-4745-a55f-7b4377544c9c,PathCellObject,,Tumor,411.46,101.76
20d2a924-4bf9-4fb9-b6f6-7bd2e0914ecf,PathCellObject,,Tumor,448.81,98.48
