Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
f0a0f6ee-bf8c-4cf4-821b-13abce782117,PathCellObject,,Tumor,596.71,5.279
2d2d4733-7bb3-4ad9-8248-2e1d92944dfa,PathCellObject,,Tumor,567.48,5.257
8a2266f1-fe18-410c-b334-65e6e2fb6ed4,PathCellObject,,Tumor,767,2.69
df48b9ac-cc49-4a75-9f2d-49d59c40b066,Target: CD3: CD4,Target: CD3: CD4,Tumor,751.92,7.052
b06f4b65-b938-4b3f-b93c-65537b8e5078,PathCellObject,,Tumor,60.6,5.255
0690aa9e-29b3-4252-b938-c51335dbcd67,PathCellObject,,Tumor,588.15,8.941
cb39bd7b-978b-4ba0-846a-090c9b453614,Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Tumor,702.06,7.452
2d888891-2bb2-45ea-9203-f9c29c9ad53b,PathCellObject,,Tumor,439.09,7.861
5289cc4b-0384-49db-a3ff-ae0f826375d9,PathCellObject,,Tumor,779.02,6.757
bd15dc93-29e3-43e7-af0f-f54b55f73ff6,Target: CD8,Target: CD8,Tumor,763.33,11.34
1da40a17-e26e-4839-b53f-782b459e2067,Target: CD20,Target: CD20,Tumor,661.63,9.563
8742372d-57b4-4b06-9d98-97db68e36984,PathCellObject,,Tumor,125.23,10.52
d1b4e78f-3081-4956-a307-56a6a67d3ed9,PathCellObject,,Tumor,771.59,14.87
30b551db-2eb7-4d34-bd25-1cda3a9e622b,PathCellObject,,Tumor,199,11.86
fcd8e33e-f346-4447-bd33-3067415df0a0,PathCellObject,,Tumor,108.94,15
394ebcb9-c232-474e-8bab-69bdf53d98f3,PathCellObject,,Tumor,63.29,15.12
32b93cab-9bc2-4951-9fcc-6f9b4fd6e43c,PathCellObject,,Tumor,565.24,17.4
9ea1e50a-0b5b-457f-adaa-63f6f25b1ef3,PathCellObject,,Tumor,193.23,19.01
33c48f57-cdfa-4e13-9af7-951ffcb8aa69,PathCellObject,,Tumor,790.66,21.68
e399ac09-650e-4e4f-bae1-eb74cd275c5e,Target: CD8,Target: CD8,Tumor,650.41,21.59
e5568534-18ce-4157-b379-17aa77307477,PathCellObject,,Tumor,769.34,23.65
f6e74476-1e0b-412f-a05c-6423adbf6d5b,Target: CD20,Target: CD20,Tumor,679.58,24.61
13418e77-1b58-4278-b907-141b52fb36bc,PathCellObject,,Tumor,62.99,24.65
c103f789-346e-43ef-9f96-268dc1c2eaa0,PathCellObject,,Tumor,665.01,25.28
a7678d49-4c9d-4544-877a-52561fa93f4a,Target: CD20: CD3,Target: CD20: CD3,Tumor,760.57,25.42
9e32f776-5100-46ef-86e3-172f7df6a96c,PathCellObject,,Tumor,783.62,32.75
5d748166-cd33-4c9f-975a-ee8f0c656118,Target: CD8,Target: CD8,Tumor,744.43,29.28
252bbd43-2df4-4a65-9af0-e1aa5a4d3e53,Target: CD3,Target: CD3,Tumor,43.96,31.72
4afc566b-fde9-4567-af1b-a522e6c95350,PathCellObject,,Tumor,697.32,33.61
f40d766a-d49d-447a-95f9-28490c010c6b,Target: CD20: CD8,Target: CD20: CD8,Tumor,646.45,33.52
509cf15e-1872-4f12-a5bf-4002bd0a8c6c,Target: CD20,Target: CD20,Tumor,767.69,33.79
ac64312a-c080-4c68-9257-6d962a7fb409,PathCellObject,,Tumor,396.84,35.56
ad94ddc6-690e-4106-82dd-55d3eed2d171,PathCellObject,,Tumor,31.75,35.68
6822a812-a6f1-4942-a3a2-2a00bba017ba,PathCellObject,,Tumor,551,43.36
3976e130-06c3-4abd-9aa4-a6d0e19a0737,Target: CD3,Target: CD3,Tumor,733.02,44.91
8816c4ba-bc87-4ddf-a73b-d798dd8b511b,Target: CD20,Target: CD20,Tumor,770.09,45.77
34144151-af3b-4df7-bfa1-70b1ed06580e,PathCellObject,,Tumor,508.63,47.91
