Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
580f57da-63b5-4cdd-bd1e-d84a0835d1f0,PathCellObject,,Tumor,271.62,4.34
c4dc5d30-ba01-45b4-9b04-2fb920e105ca,PathCellObject,,Tumor,440.45,3.417
fdd72d92-6c0e-4bba-b85b-407cab827da3,PathCellObject,,Tumor,12.92,2.435
7c42a5c0-4f03-4557-94d9-24a6427f5b01,PathCellObject,,Tumor,616.02,8.899
c5134b0e-4170-4223-ad55-2ca614fe8d4f,PathCellObject,,Tumor,7.583,8.121
9973e94f-50e8-4e4f-b823-8e3df82b6fbb,Target: CD8,Target: CD8,Tumor,20.26,9.777
9d505947-8176-4521-9fb1-c8d242f86f69,PathCellObject,,Tumor,436.67,9.925
e9767c15-15f0-4599-b7ae-7a7b3c88589e,PathCellObject,,Tumor,448.68,13.04
3d37a652-934f-4ae4-aa8c-9076f17109ac,PathCellObject,,Tumor,184.25,10.8
c5b504cd-399d-45a2-b580-01b24e73ddd7,PathCellObject,,Tumor,432.35,18.27
65a3ba11-1fdb-409e-994b-4f33b5aa99e4,PathCellObject,,Tumor,197.24,14.64
d29ef065-9977-4e62-bfdc-ddc19398227f,PathCellObject,,Tumor,479.9,17.68
85ebdb05-0665-455f-8227-ac5f886fd3aa,PathCellObject,,Tumor,190.56,21.43
87af15ac-d5ac-4596-8bef-8c889bf3542f,PathCellObject,,Tumor,199.63,24.45
3833c8e0-4c75-412c-adc5-ce00aab451a7,PathCellObject,,Tumor,214.91,26.42
6f229843-e0b6-4964-a2ac-f042fd233e43,PathCellObject,,Tumor,678.85,28.44
bf49f7b3-f02d-47fb-9421-17c26baa6064,PathCellObject,,Tumor,80.84,27.79
171a784b-1f65-4c38-85d8-0ed391289552,PathCellObject,,Tumor,323.23,30.41
bf30df76-c6c5-4f6d-9601-03fc0b37f6ca,PathCellObject,,Tumor,448.09,28.49
e5d4c8af-f952-4d39-8660-7bb8d44da38a,PathCellObject,,Tumor,427.17,29.23
a343a842-2cfb-4505-9eb0-661f369b4f87,PathCellObject,,Tumor,476.96,31.65
6060008d-ed1b-4d7d-b494-77c8ef504d46,PathCellObject,,Tumor,662.38,31.21
6dca0640-54ff-45c9-a8a9-3491daf56d69,PathCellObject,,Tumor,312.94,30.92
ee3d9d4d-f3e4-4681-b1c3-c9ba7845d199,PathCellObject,,Tumor,378.85,31.94
e346b211-9147-4551-98be-c6880f8ebe03,PathCellObject,,Tumor,652.04,33.8
46c376a7-4c77-4b8b-9192-0acbfdde81a2,PathCellObject,,Tumor,86.64,33.62
53a87e79-beb0-4eb7-8651-0a309efdc1f8,PathCellObject,,Tumor,94.2,35.58
5335e93a-30ba-417b-88b3-dcda9aae13eb,PathCellObject,,Tumor,103.43,33.53
ecf63cd7-7857-4529-a6c3-fb55447f4060,PathCellObject,,Tumor,161.08,34.93
a399e526-d6a4-4eb4-891f-8265c3501762,PathCellObject,,Tumor,187.88,35.44
433d07f5-9fbd-41f1-b482-f1c3c05d898c,PathCellObject,,Tumor,425.76,38.18
