Object ID,Name,Class,Parent,Centroid X µm,Centroid Y µm
4cdf180a-2d53-43d1-9284-56ab252b6dfb,PathCellObject,,Tumor,217.65,2.45
4db78c5f-4aed-435f-af3f-6c4a6a7c5c5a,PathCellObject,,Tumor,314.46,4.536
71946f90-1148-42d1-90d6-197996df959b,PathCellObject,,Tumor,347.26,4.528
403354e5-1689-4a69-9a54-c97bb599c100,PathCellObject,,Tumor,375.33,1.966
43b475d6-1247-4ec1-a845-1b0393e1ae63,PathCellObject,,Tumor,512.75,1.84
9dc8004c-bb40-4b70-ba7c-ffa8810e25fb,PathCellObject,,Tumor,528.24,1.717
9462b321-8d06-4859-9c7e-0f91ffcd16c9,PathCellObject,,Tumor,658.24,3.16
8523ed45-291e-4b03-9a8b-9f9faf61807c,PathCellObject,,Tumor,669.93,2.708
94b4959d-bc58-46e5-ba46-d9cacce2ca33,PathCellObject,,Tumor,677.16,2.6
5bead5c5-e0fe-45df-adfa-8f51e8c7fdd5,PathCellObject,,Tumor,687.58,5.874
f9644034-f750-4612-873b-19c9b8931315,PathCellObject,,Tumor,19.41,4.055
29e6fe53-3f83-458a-8ab8-70c099eeee54,PathCellObject,,Tumor,87.66,6.887
245a3123-e292-4062-bd71-03a71344fee7,PathCellObject,,Tumor,245,4.328
7a2794aa-ec76-4c65-be25-1dfbd8642a07,PathCellObject,,Tumor,460.02,5.02
c2570010-6f6a-43a6-9eb2-6244b5d68038,PathCellObject,,Tumor,480.75,1.908
dd642d06-22a6-4f30-9ccb-144f87468349,PathCellObject,,Tumor,750.24,7.686
8d9af014-bc68-4676-b3c0-8388d8a4a2ac,PathCellObject,,Tumor,471.34,5.507
fc6e0048-0884-4018-a4bf-606f6a77769e,PathCellObject,,Tumor,531.58,9.047
c11bd749-0cba-4a45-9d4a-3443cf1a5d38,PathCellObject,,Tumor,76.3,6.395
80e84cc3-4805-4e33-ab61-886747d0a5c3,PathCellObject,,Tumor,95.38,6.334
25d2bee4-6919-462a-86ad-19d96f7b8cd4,PathCellObject,,Tumor,231.65,8.468
507ef82c-2478-4052-9ca6-834efd154495,PathCellObject,,Tumor,397.57,5.447
dd1dc2e7-0a3a-4e07-a0c4-e2bde91a34c8,PathCellObject,,Tumor,663.06,8.412
342a4ce6-f43d-4bbe-bffb-c0b77ab14ed9,PathCellObject,,Tumor,516.45,7.324
cc067faa-70df-443d-bccb-e2b4a2997c9d,PathCellObject,,Tumor,728.82,7.294
1a526d2c-1d23-4d94-be84-61f995f50bd2,PathCellObject,,Tumor,793.05,7.641
50922388-446c-4edf-bc7c-93bdad2ce504,PathCellObject,,Tumor,58.71,7.484
9bd6b9c2-aa7b-4713-839a-3e67ff0b4f7b,PathCellObject,,Tumor,102.25,7.469
1f880428-b672-46e9-88b8-6c3faf33f96f,PathCellObject,,Tumor,211.55,7.841
bfa4cbdc-f48c-4c84-9048-30083933ea82,PathCellObject,,Tumor,336.48,5.959
5ecd55a6-e418-43af-ac5a-4263e99a7aee,PathCellObject,,Tumor,414.84,5.681
5ffbb779-94e7-4f80-8ebc-d70c0aad3d94,PathCellObject,,Tumor,448.39,7.088
d00dda20-e2d0-4177-a4b2-c464c6ef8267,PathCellObject,,Tumor,481.46,9.201
29d560f6-96b0-46bf-b546-0a7cf9e531fd,PathCellObject,,Tumor,495.39,9.046
00a40476-f484-4c11-8d41-94bd8f763f15,PathCellObject,,Tumor,506.76,7.752
bbddff5b-a27f-4697-b305-5c89e4493f70,PathCellObject,,Tumor,776.75,10.04
fbfdc9be-909c-404a-81db-0f43d00cef06,PathCellObject,,Tumor,253.41,6.47
e17d25e4-c4cf-4bf2-b763-890f0ca89e39,PathCellObject,,Tumor,377.14,9.499
299b98b8-1da9-4add-be18-e0fdd9843e92,PathCellObject,,Tumor,441.59,6.671
9fe9d0db-4209-4a2b-9094-c2c3f700fc22,PathCellObject,,Tumor,544.26,9.4
a5475b1f-b05d-462c-bb5f-cd6ba7bf38fc,PathCellObject,,Tumor,674.69,14.25
92e6ec09-963e-49cc-93a6-48637ff947ee,PathCellObject,,Tumor,267.05,9.422
ead74f2c-e921-4ea0-80f0-4b95e78ab416,PathCellObject,,Tumor,111.22,6.97
c05ac989-d1e9-454b-bf0e-2f5e67bba96d,PathCellObject,,Tumor,715.44,10.83
7af76bb9-9d91-4d68-902d-975a6605e5d6,PathCellObject,,Tumor,406.01,13.8
78174e8b-ecc0-47d6-a1e7-39911cfccc65,PathCellObject,,Tumor,562.44,9.631
0e64207c-f043-4a03-bc37-7d1e5ae0ee6f,PathCellObject,,Tumor,693.22,12.93
3d5f70af-fa47-42ef-aeda-c09a8afc7e3d,PathCellObject,,Tumor,358.17,13.04
651eff92-3607-426e-9ea2-3428e581aba4,PathCellObject,,Tumor,119.8,11.96
645ee47e-fa5d-4030-879b-2bd3e48c4533,PathCellObject,,Tumor,340.8,11.59
e445fa9e-45b9-4eb4-a61d-6cd18514e103,PathCellObject,,Tumor,486.63,13.29
0ee26182-d22e-40e9-8da1-c0ee8895fd08,PathCellObject,,Tumor,20.89,11.62
15c3f447-d440-4e4e-b348-7fd052d4f622,PathCellObject,,Tumor,467.74,14.99
284a3d97-5a21-49bc-9c7b-43d3aa2fd2d5,PathCellObject,,Tumor,30.39,12.42
7b13d9a8-3427-49d3-862f-7046b748047e,PathCellObject,,Tumor,416.35,13.61
47990030-6424-4ef7-babb-e4958e07f287,PathCellObject,,Tumor,436.28,14.94
0b73de76-c088-4e64-a6bd-250f8ebc5375,PathCellObject,,Tumor,453.03,13.5
83dbe6d2-1425-4bc2-83ce-99ba0fec9e67,PathCellObject,,Tumor,764.62,14.36
5f537ee1-9662-4a68-b681-90a8a9ef3598,PathCellObject,,Tumor,107.69,15.69
c513fecf-7f70-4fb2-82a1-7394e2b8e47d,PathCellObject,,Tumor,256.91,13.14
31ed0d84-cadb-4214-bb2f-99fc4dd92043,PathCellObject,,Tumor,475.04,15.61
6da12b3d-9873-48f3-a91f-3d837203523e,PathCellObject,,Tumor,251.08,14.6
890a14f0-f4b3-4362-a60f-dcb0b6d60351,PathCellObject,,Tumor,244.54,14.03
1ef1dbe6-a019-40bc-ae53-607d1e6cccce,PathCellObject,,Tumor,348.75,18.54
78f416a5-4b81-40e2-b7cb-00bf8ee856cc,PathCellObject,,Tumor,514.88,16.87
ced31470-6c66-4c0a-8360-419f87fd4537,PathCellObject,,Tumor,66.21,16.16
20fea875-8b9a-4f31-902f-4039f339a806,PathCellObject,,Tumor,213.6,17.7
fdefe192-961d-4e11-852f-579f27e88330,PathCellObject,,Tumor,337.57,14.93
49c684c0-1578-4604-8f19-fa667e13279a,PathCellObject,,Tumor,580.12,18.01
0b3b316f-522c-4c63-ac5d-fb61fb5b233d,PathCellObject,,Tumor,699.85,16.6
0cb1298b-f280-4e4f-90f8-ea6fdd2f2bdb,PathCellObject,,Tumor,17.26,17
0ede2889-b40b-4c23-a2d4-9a2965f03f19,PathCellObject,,Tumor,84.26,16.36
a61fe431-c7cf-4198-9cb4-4516edee4922,PathCellObject,,Tumor,75.74,23.97
5a5a0c9e-fc4e-4ddf-92fc-09a425aab50a,PathCellObject,,Tumor,92.55,17.49
10fad27a-546e-4440-a9b0-de1f9aa6ca0a,PathCellObject,,Tumor,571.82,20.26
e052d1ec-5c46-49ed-bcb0-9395fd2e7d47,PathCellObject,,Tumor,746.09,19.18
294bd3c9-0c47-4aaa-a973-560aa17f078e,PathCellObject,,Tumor,240.27,20.35
34593c7c-80e3-4fbd-8f4f-b4a1c7716825,PathCellObject,,Tumor,428.19,21.35
b6e1f8f2-fbc5-40f0-9af2-48b42bf8a83d,PathCellObject,,Tumor,265.11,21.15
dd78aa8d-7564-40ce-b56b-cf3f25c2ee51,PathCellObject,,Tumor,273.73,21.69
c9ee1063-ffa6-4f78-ac60-660b1552c41b,PathCellObject,,Tumor,330.45,18.93
40c074eb-1289-4537-8c8a-c0fcdc4b9bbd,PathCellObject,,Tumor,365.39,20.42
fc4781c8-71b4-4ea1-8ff6-f742c9f5fe66,PathCellObject,,Tumor,371.53,16.76
3a784ddf-6209-457a-b5f8-160233ebef8e,PathCellObject,,Tumor,444.8,19.8
30761a02-fb3c-4912-8cac-c46c682f6389,PathCellObject,,Tumor,460.57,19.59
976e58bb-db9e-4c51-8d9c-9b1c89864aa7,PathCellObject,,Tumor,562.48,21.02
c131c5f7-4e35-4528-82c1-71b531202dcb,PathCellObject,,Tumor,733.42,21.84
98b629c5-ff3f-417e-86c3-cbb7bafd3634,PathCellObject,,Tumor,52.64,19.85
fddd26a2-4531-4c29-85da-c5cc807e9cfd,PathCellObject,,Tumor,283.21,16.87
cd4ebf71-4f6d-4b45-89bb-b151ed3d75be,PathCellObject,,Tumor,420.84,17.29
28c795f9-02d6-4954-a6fb-e0517896a27b,PathCellObject,,Tumor,784.64,20.84
c762d2ac-7a22-42c0-9618-915073691f8d,PathCellObject,,Tumor,258.2,19.81
445c5029-c417-4cf2-8006-88f0dc341245,PathCellObject,,Tumor,36,22.86
b30d2ccc-0da8-4144-8103-61bf0aa17da3,PathCellObject,,Tumor,60.22,21.14
81a2b223-fdd1-4092-bc18-2ef7dd546689,PathCellObject,,Tumor,340.9,22.17
6b6e4fc7-ce2f-4d13-8cb7-c7378c2e7006,PathCellObject,,Tumor,490.65,22.3
f7462d05-b365-49c0-9ad5-0aa584589b8f,PathCellObject,,Tumor,719.25,20.79
3a72da10-6491-43b5-aaf0-0b50a424337b,PathCellObject,,Tumor,26.42,20.58
eca18443-64a7-4a0a-9870-eb1953347278,PathCellObject,,Tumor,7.053,21.02
d51d5ef2-2a2e-4ca5-b848-c19a24b7282e,PathCellObject,,Tumor,113.83,22.53
8dc26829-2ddb-450d-a7aa-10c14601d0f2,PathCellObject,,Tumor,125.6,21.98
ee29ecdd-2c74-48fc-88eb-dc2732ab9706,PathCellObject,,Tumor,374.67,24.5
e24ec5b7-4d1e-436b-8fb4-eb1efb7ab360,PathCellObject,,Tumor,388.68,21.68
2c83dd2e-433c-4fa6-b426-09e1640937ee,PathCellObject,,Tumor,253.36,24.46
efb6aea7-781b-4128-9d40-077826f17889,PathCellObject,,Tumor,403.55,23.64
c5c9c986-e01d-41c4-871c-2d4fed813ead,PathCellObject,,Tumor,507.08,23.04
9e1358fe-b5cb-4c89-bfde-0aa3501772dd,PathCellObject,,Tumor,87.5,23.3
1f172f3d-956f-40d9-9353-deeb346bbecd,PathCellObject,,Tumor,627.31,20.54
91f1389c-adee-4d6f-88cd-a4d5bd7e9267,PathCellObject,,Tumor,498.8,22.3
72549df9-ad2f-4a34-9321-f809555104dc,PathCellObject,,Tumor,751.38,26.95
5991d5b0-3dea-4176-a160-94ae6684ca6c,PathCellObject,,Tumor,416.17,23.79
cd6c1731-684f-41fc-bf87-f605e957555e,PathCellObject,,Tumor,452.89,23.85
b64e3fb8-95e0-4866-84a6-7291e9a87054,PathCellObject,,Tumor,681.12,28.11
e571bdd3-1ef0-45d7-a840-95aa511f5d83,PathCellObject,,Tumor,281.63,25.51
365aa043-5fe1-4bff-993b-11f5fc3f187d,PathCellObject,,Tumor,614.34,22.91
fac7ad6b-402c-408c-bacf-d1f050e9b491,PathCellObject,,Tumor,713.9,29.46
5c935704-27a0-4d4f-b1be-4b29a197d437,PathCellObject,,Tumor,762.32,27.14
10de572c-3215-4ee3-a60d-936b7eb239bb,PathCellObject,,Tumor,24.54,28.07
a96a0792-2e71-4924-b2b3-abc9b277f703,PathCellObject,,Tumor,468.61,27.75
f5aceb34-70b6-46a5-9291-3591c1980d15,PathCellObject,,Tumor,701.61,26.04
18baa31a-190e-4dc4-be98-7dd6936e70c4,PathCellObject,,Tumor,97.1,24.61
6320f2d6-82bd-4227-805d-918b29234bfd,PathCellObject,,Tumor,635.61,25.36
3b1caa0d-e3bd-40d1-8f40-18efcd40fc61,PathCellObject,,Tumor,693,27.32
0275b392-8bda-4e06-aed6-cb221b76aaff,PathCellObject,,Tumor,645.37,26.97
2a465f06-d6a5-4577-9fc3-2ff9727e74f2,PathCellObject,,Tumor,59.93,30.08
256dcecd-1e1d-4cbe-8da0-69ba0aca8369,PathCellObject,,Tumor,235.07,29.54
2bb809e5-e1f5-4c0b-a9e2-5371ad84ed42,PathCellObject,,Tumor,443.7,28.01
